rank,name,country_name,country_id,opponent_name,opponent_country_name,opponent_country_id,date,tournament,level,bestOf,surface,indoor,speed,round,score,winner,value,outcome
345,Xavier Malisse,Belgium,BEL,Bernard Tomic,Australia,AUS,20/06/2011,Wimbledon,G,5,G,FAUX,80,R16,6-1 7-5 6-4,FAUX,13,
442,Alexandr Dolgopolov,Ukraine,UKR,Jarkko Nieminen,Finland,FIN,18/07/2011,Hamburg,A,3,C,FAUX,39,R32,6-3 1-6 6-4,FAUX,12,
442,Alexandr Dolgopolov,Ukraine,UKR,Erik Chvojka,Canada,CAN,08/08/2011,Canada Masters,M,3,H,FAUX,62,R64,6-3 5-7 6-4,VRAI,12,
442,Alexandr Dolgopolov,Ukraine,UKR,Viktor Troicki,Serbia,SRB,22/05/2011,Roland Garros,G,5,C,FAUX,46,R32,6-4 3-6 6-3 6-4,FAUX,12,
442,Aljaz Bedene,Slovenia,SLO,Tommy Haas,Germany,GER,24/10/2011,Vienna,B,3,H,VRAI,76,R16,4-6 6-4 6-1,FAUX,12,
442,Andreas Seppi,Italy,ITA,Albert Montanes,Spain,ESP,20/06/2011,Wimbledon,G,5,G,FAUX,80,R128,6-4 6-4 7-5,VRAI,12,
442,Andreas Seppi,Italy,ITA,Arnaud Clement,France,FRA,17/01/2011,Australian Open,G,5,H,FAUX,55,R128,3-6 2-6 7-5 6-3 6-2,VRAI,12,
442,Andy Murray,United Kingdom,GBR,Xavier Malisse,Belgium,BEL,06/06/2011,Queen's Club,B,3,G,FAUX,75,R32,6-3 5-7 6-3,VRAI,12,
442,Andy Murray,United Kingdom,GBR,Eric Prodon,France,FRA,22/05/2011,Roland Garros,G,5,C,FAUX,46,R128,6-4 6-1 6-3,VRAI,12,
442,Andy Murray,United Kingdom,GBR,Viktor Troicki,Serbia,SRB,22/05/2011,Roland Garros,G,5,C,FAUX,46,R16,4-6 4-6 6-3 6-2 7-5,VRAI,12,
442,Andy Roddick,United States,USA,Tommy Haas,Germany,GER,31/10/2011,Basel,A,3,H,VRAI,62,R32,6-3 6-4,VRAI,12,
442,Andy Roddick,United States,USA,Robin Soderling,Sweden,SWE,02/01/2011,Brisbane,B,3,H,FAUX,68,F,6-3 7-5,FAUX,12,
442,Antonio Veic,Croatia,CRO,Alex Bogomolov Jr,Russian Federation,RUS,31/01/2011,Zagreb,B,3,H,VRAI,56,R32,2-6 7-6(4) 7-6(2),FAUX,12,
442,Arnaud Clement,France,FRA,Lukasz Kubot,Poland,POL,20/06/2011,Wimbledon,G,5,G,FAUX,80,R128,6-4 6-2 3-6 5-7 6-4,FAUX,12,
442,Benjamin Becker,Germany,GER,Ernests Gulbis,Latvia,LAT,17/01/2011,Australian Open,G,5,H,FAUX,55,R128,7-6(5) 6-2 6-4,VRAI,12,
442,Carlos Berlocq,Argentina,ARG,Karol Beck,Slovakia,SVK,20/06/2011,Wimbledon,G,5,G,FAUX,80,R128,4-6 7-6(6) 4-6 6-2 6-4,FAUX,12,
442,David Ferrer,Spain,ESP,Andy Roddick,United States,USA,29/08/2011,US Open,G,5,H,FAUX,49,R16,6-3 6-4 3-6 6-3,FAUX,12,
442,Dmitry Tursunov,Russian Federation,RUS,Jurgen Melzer,Austria,AUT,20/06/2011,Wimbledon,G,5,G,FAUX,80,R64,6-3 2-6 7-6(5) 7-6(1),FAUX,12,
442,Dmitry Tursunov,Russian Federation,RUS,Grigor Dimitrov,Bulgaria,BUL,14/02/2011,Marseille,B,3,H,VRAI,81,R32,6-7(6) 7-5 7-6(4),VRAI,12,
442,Dustin Brown,Germany,GER,Matthias Bachinger,Germany,GER,04/07/2011,Newport,B,3,G,FAUX,56,R32,7-6(7) 6-7(5) 6-1,FAUX,12,
442,Ernests Gulbis,Latvia,LAT,Mardy Fish,United States,USA,08/08/2011,Canada Masters,M,3,H,FAUX,62,R16,4-6 6-3 6-4,FAUX,12,
442,Ernests Gulbis,Latvia,LAT,Benjamin Becker,Germany,GER,17/01/2011,Australian Open,G,5,H,FAUX,55,R128,7-6(5) 6-2 6-4,FAUX,12,
442,Ernests Gulbis,Latvia,LAT,Rafael Nadal,Spain,ESP,03/01/2011,Doha,B,3,H,FAUX,73,QF,7-6(3) 6-3,FAUX,12,
442,Feliciano Lopez,Spain,ESP,Milos Raonic,Canada,CAN,01/05/2011,Madrid Masters,M,3,C,FAUX,53,R64,4-6 7-6(2) 6-4,VRAI,12,
442,Feliciano Lopez,Spain,ESP,Janko Tipsarevic,Serbia,SRB,09/10/2011,Shanghai Masters,M,3,H,FAUX,60,R64,7-6(2) 7-6(3),VRAI,12,
442,Feliciano Lopez,Spain,ESP,Florian Mayer,Germany,GER,07/02/2011,Rotterdam,A,3,H,VRAI,85,R32,6-3 6-4,VRAI,12,
442,Feliciano Lopez,Spain,ESP,Philipp Kohlschreiber,Germany,GER,08/05/2011,Rome Masters,M,3,C,FAUX,38,R32,6-4 3-6 6-3,VRAI,12,
442,Feliciano Lopez,Spain,ESP,David Ferrer,Spain,ESP,09/10/2011,Shanghai Masters,M,3,H,FAUX,60,SF,6-7(5) 6-3 6-3,FAUX,12,
442,Feliciano Lopez,Spain,ESP,Marcos Baghdatis,Cyprus,CYP,07/02/2011,Rotterdam,A,3,H,VRAI,85,R16,7-6(3) 6-3,FAUX,12,
442,Fernando Verdasco,Spain,ESP,Robin Haase,Netherlands,NED,20/06/2011,Wimbledon,G,5,G,FAUX,80,R64,6-3 6-4 4-6 6-2,FAUX,12,
442,Fernando Verdasco,Spain,ESP,Radek Stepanek,Czech Republic,CZE,20/06/2011,Wimbledon,G,5,G,FAUX,80,R128,2-6 4-6 6-3 7-6(6) 9-7,VRAI,12,
442,Fernando Verdasco,Spain,ESP,Milos Raonic,Canada,CAN,14/02/2011,Memphis,A,3,H,VRAI,72,R32,6-4 3-6 7-6(5),FAUX,12,
442,Florian Mayer,Germany,GER,Bernard Tomic,Australia,AUS,02/01/2011,Brisbane,B,3,H,FAUX,68,R32,6-2 6-2,VRAI,12,
442,Florian Mayer,Germany,GER,Daniel Evans,United Kingdom,GBR,20/06/2011,Wimbledon,G,5,G,FAUX,80,R128,7-6(5) 7-6(1) 3-6 6-4,VRAI,12,
442,Gael Monfils,France,FRA,John Isner,United States,USA,31/07/2011,Washington,A,3,H,FAUX,55,SF,6-4 3-6 7-6(6),VRAI,12,
442,Gael Monfils,France,FRA,Novak Djokovic,Serbia,SRB,14/08/2011,Cincinnati Masters,M,3,H,FAUX,68,QF,3-6 6-4 6-3,FAUX,12,
442,Gael Monfils,France,FRA,Feliciano Lopez,Spain,ESP,07/11/2011,Paris Masters,M,3,H,VRAI,60,R32,6-3 6-4,FAUX,12,
442,Gilles Muller,Luxembourg,LUX,Benoit Paire,France,FRA,19/09/2011,Metz,B,3,H,VRAI,70,R16,7-6(5) 6-4,VRAI,12,
442,Gilles Simon,France,FRA,Mikhail Youzhny,Russian Federation,RUS,14/02/2011,Marseille,B,3,H,VRAI,81,R16,3-6 6-3 6-3,FAUX,12,
442,Gilles Simon,France,FRA,Yen Hsun Lu,Taiwan, Province of China,TPE,26/09/2011,Bangkok,B,3,H,VRAI,61,R16,6-7(4) 7-5 6-4,VRAI,12,
442,Grigor Dimitrov,Bulgaria,BUL,Thomaz Bellucci,Brazil,BRA,06/06/2011,Queen's Club,B,3,G,FAUX,75,R64,3-6 7-6(8) 6-2,FAUX,12,
442,Grigor Dimitrov,Bulgaria,BUL,Tim Smyczek,United States,USA,31/07/2011,Washington,A,3,H,FAUX,55,R64,4-6 7-6(3) 7-6(3),VRAI,12,
442,Guillermo Garcia Lopez,Spain,ESP,Alex Bogomolov Jr,Russian Federation,RUS,31/01/2011,Zagreb,B,3,H,VRAI,56,QF,6-2 7-6(6),VRAI,12,
442,Igor Andreev,Russian Federation,RUS,Bernard Tomic,Australia,AUS,21/08/2011,Winston-Salem,B,3,H,FAUX,55,R64,6-7(5) 6-3 6-4,VRAI,12,
442,Ivan Ljubicic,Croatia,CRO,Jo Wilfried Tsonga,France,FRA,19/09/2011,Metz,B,3,H,VRAI,70,F,6-3 6-7(4) 6-3,FAUX,12,
442,Ivo Karlovic,Croatia,CRO,Ryan Sweeting,United States,USA,04/04/2011,Houston,B,3,C,FAUX,23,SF,7-6(3) 6-3,FAUX,12,
442,Ivo Karlovic,Croatia,CRO,Tomas Berdych,Czech Republic,CZE,08/08/2011,Canada Masters,M,3,H,FAUX,62,R16,6-3 7-6(2),FAUX,12,
442,Ivo Karlovic,Croatia,CRO,Igor Kunitsyn,Russian Federation,RUS,04/04/2011,Houston,B,3,C,FAUX,23,R16,6-4 6-1,VRAI,12,
442,James Blake,United States,USA,Jesse Huta Galung,Netherlands,NED,29/08/2011,US Open,G,5,H,FAUX,49,R128,6-4 6-2 4-6 6-4,VRAI,12,
442,Jan Hernych,Czech Republic,CZE,Thomaz Bellucci,Brazil,BRA,17/01/2011,Australian Open,G,5,H,FAUX,55,R64,6-2 6-7(11) 6-4 6-7(3) 8-6,VRAI,12,
442,Janko Tipsarevic,Serbia,SRB,Potito Starace,Italy,ITA,24/10/2011,St. Petersburg,B,3,H,VRAI,40,QF,6-7(6) 6-2 6-1,VRAI,12,
442,Janko Tipsarevic,Serbia,SRB,Philipp Petzschner,Germany,GER,29/08/2011,US Open,G,5,H,FAUX,49,R64,6-0 6-3 3-6 6-3,VRAI,12,
442,Janko Tipsarevic,Serbia,SRB,Ivo Karlovic,Croatia,CRO,21/02/2011,Delray Beach,B,3,H,FAUX,67,R32,7-6(14) 7-6(1),VRAI,12,
442,Jeremy Chardy,France,FRA,Bernard Tomic,Australia,AUS,17/01/2011,Australian Open,G,5,H,FAUX,55,R128,6-3 6-2 7-6(5),FAUX,12,
442,John Isner,United States,USA,Ricardo Mello,Brazil,BRA,10/03/2011,Indian Wells Masters,M,3,H,FAUX,54,R64,6-3 7-6(2),VRAI,12,
442,John Isner,United States,USA,Kevin Anderson,South Africa,RSA,23/03/2011,Miami Masters,M,3,H,FAUX,55,R16,6-3 7-6(4),FAUX,12,
442,John Isner,United States,USA,David Ferrer,Spain,ESP,07/11/2011,Paris Masters,M,3,H,VRAI,60,QF,6-3 3-6 6-3,VRAI,12,
442,John Isner,United States,USA,Juan Martin Del Potro,Argentina,ARG,14/02/2011,Memphis,A,3,H,VRAI,72,R32,6-4 6-3,FAUX,12,
442,John Isner,United States,USA,Marcos Baghdatis,Cyprus,CYP,21/08/2011,Winston-Salem,B,3,H,FAUX,55,QF,1-6 6-3 6-4,VRAI,12,
442,John Isner,United States,USA,Tobias Kamke,Germany,GER,04/07/2011,Newport,B,3,G,FAUX,56,SF,7-5 7-6(4),VRAI,12,
442,Jo Wilfried Tsonga,France,FRA,Igor Andreev,Russian Federation,RUS,22/05/2011,Roland Garros,G,5,C,FAUX,46,R64,6-3 7-6(4) 6-3,VRAI,12,
442,Jo Wilfried Tsonga,France,FRA,John Isner,United States,USA,07/11/2011,Paris Masters,M,3,H,VRAI,60,SF,3-6 7-6(1) 7-6(3),VRAI,12,
442,Jo Wilfried Tsonga,France,FRA,Novak Djokovic,Serbia,SRB,20/06/2011,Wimbledon,G,5,G,FAUX,80,SF,7-6(4) 6-2 6-7(9) 6-3,FAUX,12,
442,Jo Wilfried Tsonga,France,FRA,David Ferrer,Spain,ESP,20/06/2011,Wimbledon,G,5,G,FAUX,80,R16,6-3 6-4 7-6(1),VRAI,12,
442,Jo Wilfried Tsonga,France,FRA,Mardy Fish,United States,USA,29/08/2011,US Open,G,5,H,FAUX,49,R16,6-4 6-7(5) 3-6 6-4 6-2,VRAI,12,
442,Juan Martin Del Potro,Argentina,ARG,Robin Soderling,Sweden,SWE,23/03/2011,Miami Masters,M,3,H,FAUX,55,R32,6-3 6-2,VRAI,12,
442,Juan Martin Del Potro,Argentina,ARG,Gilles Simon,France,FRA,20/06/2011,Wimbledon,G,5,G,FAUX,80,R32,7-6(8) 7-6(5) 7-5,VRAI,12,
442,Kevin Anderson,South Africa,RSA,Juan Ignacio Chela,Argentina,ARG,22/05/2011,Roland Garros,G,5,C,FAUX,46,R64,3-6 6-3 6-4 4-6 6-2,FAUX,12,
442,Kevin Anderson,South Africa,RSA,Marcos Baghdatis,Cyprus,CYP,24/10/2011,Vienna,B,3,H,VRAI,76,R16,6-2 7-6(5),VRAI,12,
442,Kevin Anderson,South Africa,RSA,Olivier Rochus,Belgium,BEL,01/05/2011,Madrid Masters,M,3,C,FAUX,53,R64,6-2 6-4,VRAI,12,
442,Kevin Anderson,South Africa,RSA,Gilles Muller,Luxembourg,LUX,18/07/2011,Atlanta,B,3,H,FAUX,49,QF,7-6(3) 7-6(3),FAUX,12,
442,Kevin Anderson,South Africa,RSA,Richard Gasquet,France,FRA,14/08/2011,Cincinnati Masters,M,3,H,FAUX,68,R32,7-6(4) 6-4,FAUX,12,
442,Kevin Anderson,South Africa,RSA,Michael Russell,United States,USA,10/03/2011,Indian Wells Masters,M,3,H,FAUX,54,R128,6-7(4) 6-3 6-4,FAUX,12,
442,Kevin Anderson,South Africa,RSA,Santiago Giraldo,Colombia,COL,02/01/2011,Brisbane,B,3,H,FAUX,68,QF,2-6 6-3 6-4,VRAI,12,
442,Lleyton Hewitt,Australia,AUS,Adrian Mannarino,France,FRA,14/02/2011,Memphis,A,3,H,VRAI,72,R16,6-7(9) 7-5 6-0,VRAI,12,
442,Lukas Lacko,Slovakia,SVK,Pere Riba,Spain,ESP,03/01/2011,Doha,B,3,H,FAUX,73,R32,5-7 7-6(7) 7-6(4),VRAI,12,
442,Lukas Rosol,Czech Republic,CZE,Edouard Roger Vasselin,France,FRA,21/08/2011,Winston-Salem,B,3,H,FAUX,55,R64,7-6(5) 2-6 7-6(4),FAUX,12,
442,Marcos Baghdatis,Cyprus,CYP,Novak Djokovic,Serbia,SRB,31/10/2011,Basel,A,3,H,VRAI,62,QF,2-6 6-2 6-3,FAUX,12,
442,Marcos Baghdatis,Cyprus,CYP,Julien Benneteau,France,FRA,24/04/2011,Munich,B,3,C,FAUX,43,R32,7-6(2) 6-3,VRAI,12,
442,Marcos Baghdatis,Cyprus,CYP,Ivan Ljubicic,Croatia,CRO,07/02/2011,Rotterdam,A,3,H,VRAI,85,QF,6-4 6-7(6) 7-6(4),FAUX,12,
442,Mardy Fish,United States,USA,Rafael Nadal,Spain,ESP,14/08/2011,Cincinnati Masters,M,3,H,FAUX,68,QF,6-3 6-4,VRAI,12,
442,Mardy Fish,United States,USA,Rafael Nadal,Spain,ESP,20/06/2011,Wimbledon,G,5,G,FAUX,80,QF,6-3 6-3 5-7 6-4,FAUX,12,
442,Mardy Fish,United States,USA,Ricardo Mello,Brazil,BRA,22/05/2011,Roland Garros,G,5,C,FAUX,46,R128,6-2 6-7(11) 6-2 6-4,VRAI,12,
442,Mardy Fish,United States,USA,Victor Hanescu,Romania,ROU,17/01/2011,Australian Open,G,5,H,FAUX,55,R128,2-6 4-6 6-3 7-5 6-3,VRAI,12,
442,Mardy Fish,United States,USA,Tommy Robredo,Spain,ESP,17/01/2011,Australian Open,G,5,H,FAUX,55,R64,1-6 6-3 6-3 6-3,FAUX,12,
442,Mardy Fish,United States,USA,Kevin Anderson,South Africa,RSA,29/08/2011,US Open,G,5,H,FAUX,49,R32,6-4 7-6(4) 7-6(3),VRAI,12,
442,Marin Cilic,Croatia,CRO,Roger Federer,Switzerland,SUI,29/08/2011,US Open,G,5,H,FAUX,49,R32,6-3 4-6 6-4 6-2,FAUX,12,
442,Marin Cilic,Croatia,CRO,Mikhail Youzhny,Russian Federation,RUS,14/02/2011,Marseille,B,3,H,VRAI,81,SF,6-2 1-6 7-5,VRAI,12,
442,Marsel Ilhan,Turkey,TUR,Jan Hajek,Czech Republic,CZE,06/06/2011,Queen's Club,B,3,G,FAUX,75,R64,6-4 6-4,VRAI,12,
442,Matthew Ebden,Australia,AUS,John Millman,Australia,AUS,02/01/2011,Brisbane,B,3,H,FAUX,68,R32,4-6 6-2 6-4,VRAI,12,
442,Matthias Bachinger,Germany,GER,Igor Kunitsyn,Russian Federation,RUS,29/08/2011,US Open,G,5,H,FAUX,49,R128,2-6 1-6 6-1 6-4 6-4,FAUX,12,
442,Matthias Bachinger,Germany,GER,Gilles Simon,France,FRA,26/09/2011,Bangkok,B,3,H,VRAI,61,QF,3-6 6-3 6-2,FAUX,12,
442,Michael Llodra,France,FRA,Nikolay Davydenko,Russian Federation,RUS,07/02/2011,Rotterdam,A,3,H,VRAI,85,R32,6-3 7-6(4),VRAI,12,
442,Michael Llodra,France,FRA,Tobias Kamke,Germany,GER,14/02/2011,Marseille,B,3,H,VRAI,81,R16,6-3 6-4,VRAI,12,
442,Michael Llodra,France,FRA,Jo Wilfried Tsonga,France,FRA,07/02/2011,Rotterdam,A,3,H,VRAI,85,R16,4-6 6-4 6-4,FAUX,12,
442,Mikhail Kukushkin,Kazakhstan,KAZ,Albert Montanes,Spain,ESP,09/10/2011,Shanghai Masters,M,3,H,FAUX,60,R64,6-2 5-7 7-6(5),FAUX,12,
442,Mikhail Youzhny,Russian Federation,RUS,Marin Cilic,Croatia,CRO,14/02/2011,Marseille,B,3,H,VRAI,81,SF,6-2 1-6 7-5,FAUX,12,
442,Milos Raonic,Canada,CAN,Somdev Devvarman,India,IND,23/03/2011,Miami Masters,M,3,H,FAUX,55,R64,7-6(5) 7-5,FAUX,12,
442,Milos Raonic,Canada,CAN,Pablo Andujar,Spain,ESP,06/06/2011,Halle,B,3,G,FAUX,82,R32,6-3 6-1,VRAI,12,
442,Milos Raonic,Canada,CAN,Ricardas Berankis,Lithuania,LTU,07/02/2011,San Jose,B,3,H,VRAI,70,QF,6-4 7-6(2),VRAI,12,
442,Nicolas Almagro,Spain,ESP,Julien Benneteau,France,FRA,29/08/2011,US Open,G,5,H,FAUX,49,R128,6-2 6-4 6-3,FAUX,12,
442,Nicolas Almagro,Spain,ESP,Rui Machado,Portugal,POR,07/02/2011,Costa Do Sauipe,B,3,C,FAUX,50,QF,6-2 6-4,VRAI,12,
442,Nicolas Almagro,Spain,ESP,Albert Montanes,Spain,ESP,10/03/2011,Indian Wells Masters,M,3,H,FAUX,54,R32,4-6 6-2 6-4,FAUX,12,
442,Nicolas Almagro,Spain,ESP,Jarkko Nieminen,Finland,FIN,25/07/2011,Gstaad,B,3,C,FAUX,52,R16,7-6(3) 6-3,VRAI,12,
442,Nicolas Mahut,France,FRA,Dmitry Tursunov,Russian Federation,RUS,12/06/2011,s-Hertogenbosch,B,3,G,FAUX,56,R16,7-6(2) 3-6 6-3,FAUX,12,
442,Novak Djokovic,Serbia,SRB,Nicolas Almagro,Spain,ESP,17/01/2011,Australian Open,G,5,H,FAUX,55,R16,6-3 6-4 6-0,VRAI,12,
442,Peter Torebko,Germany,GER,Igor Andreev,Russian Federation,RUS,19/09/2011,Bucharest,B,3,C,FAUX,41,R32,5-7 6-4 7-5,FAUX,12,
442,Philipp Kohlschreiber,Germany,GER,Andy Roddick,United States,USA,14/08/2011,Cincinnati Masters,M,3,H,FAUX,68,R64,6-7(5) 7-5 6-1,VRAI,12,
442,Philipp Kohlschreiber,Germany,GER,Gilles Muller,Luxembourg,LUX,17/10/2011,Moscow,B,3,H,VRAI,74,R16,7-6(4) 6-3,VRAI,12,
442,Philipp Kohlschreiber,Germany,GER,Robin Soderling,Sweden,SWE,07/02/2011,Rotterdam,A,3,H,VRAI,85,R16,6-3 5-7 7-6(7),FAUX,12,
442,Philipp Petzschner,Germany,GER,Mischa Zverev,Germany,GER,22/05/2011,Roland Garros,G,5,C,FAUX,46,R128,7-6(3) 6-0 6-4,VRAI,12,
442,Philipp Petzschner,Germany,GER,Albert Ramos,Spain,ESP,29/08/2011,US Open,G,5,H,FAUX,49,R128,7-5 6-7(2) 6-3 6-7(5) 6-3,VRAI,12,
442,Philipp Petzschner,Germany,GER,Juan Ignacio Chela,Argentina,ARG,10/03/2011,Indian Wells Masters,M,3,H,FAUX,54,R64,4-6 7-5 6-2,FAUX,12,
442,Richard Gasquet,France,FRA,Adrian Mannarino,France,FRA,17/01/2011,Australian Open,G,5,H,FAUX,55,R64,6-3 7-6(4) 6-4,VRAI,12,
442,Richard Gasquet,France,FRA,Simone Bolelli,Italy,ITA,20/06/2011,Wimbledon,G,5,G,FAUX,80,R32,6-3 6-2 6-4,VRAI,12,
442,Robert Kendrick,United States,USA,Denis Gremelmayr,Germany,GER,03/01/2011,Chennai,B,3,H,FAUX,43,R32,7-6(1) 6-4,VRAI,12,
442,Robin Haase,Netherlands,NED,Jarkko Nieminen,Finland,FIN,24/10/2011,Vienna,B,3,H,VRAI,76,R32,7-6(3) 6-4,FAUX,12,
442,Robin Haase,Netherlands,NED,Marco Chiudinelli,Switzerland,SUI,31/10/2011,Basel,A,3,H,VRAI,62,R32,6-2 7-6(7),VRAI,12,
442,Robin Haase,Netherlands,NED,Alexandr Dolgopolov,Ukraine,UKR,06/06/2011,Halle,B,3,G,FAUX,82,R32,6-7(4) 6-4 6-4,FAUX,12,
442,Robin Haase,Netherlands,NED,Fernando Verdasco,Spain,ESP,20/06/2011,Wimbledon,G,5,G,FAUX,80,R64,6-3 6-4 4-6 6-2,VRAI,12,
442,Robin Soderling,Sweden,SWE,Jo Wilfried Tsonga,France,FRA,07/02/2011,Rotterdam,A,3,H,VRAI,85,F,6-3 3-6 6-3,VRAI,12,
442,Robin Soderling,Sweden,SWE,Potito Starace,Italy,ITA,17/01/2011,Australian Open,G,5,H,FAUX,55,R128,6-4 6-2 6-2,VRAI,12,
442,Robin Soderling,Sweden,SWE,Nicolas Mahut,France,FRA,14/02/2011,Marseille,B,3,H,VRAI,81,R16,7-6(8) 7-6(5),VRAI,12,
442,Robin Soderling,Sweden,SWE,Marin Cilic,Croatia,CRO,14/02/2011,Marseille,B,3,H,VRAI,81,F,6-7(8) 6-3 6-3,VRAI,12,
442,Roger Federer,Switzerland,SUI,Feliciano Lopez,Spain,ESP,22/05/2011,Roland Garros,G,5,C,FAUX,46,R128,6-3 6-4 7-6(3),VRAI,12,
442,Roger Federer,Switzerland,SUI,Mikhail Kukushkin,Kazakhstan,KAZ,20/06/2011,Wimbledon,G,5,G,FAUX,80,R128,7-6(2) 6-4 6-2,VRAI,12,
442,Roger Federer,Switzerland,SUI,Juan Martin Del Potro,Argentina,ARG,14/08/2011,Cincinnati Masters,M,3,H,FAUX,68,R32,6-3 7-5,VRAI,12,
442,Sam Querrey,United States,USA,Lukas Lacko,Slovakia,SVK,07/02/2011,San Jose,B,3,H,VRAI,70,R32,7-6(6) 6-3,FAUX,12,
442,Sam Querrey,United States,USA,Philipp Kohlschreiber,Germany,GER,22/05/2011,Roland Garros,G,5,C,FAUX,46,R128,3-6 6-1 6-2 6-4,VRAI,12,
442,Sebastian Rieschick,Germany,GER,Michael Ryderstedt,Sweden,SWE,17/10/2011,Stockholm,B,3,H,VRAI,63,R32,6-4 3-6 6-3,VRAI,12,
442,Sergiy Stakhovsky,Ukraine,UKR,Julien Benneteau,France,FRA,21/08/2011,Winston-Salem,B,3,H,FAUX,55,QF,3-6 7-6(9) 6-2,FAUX,12,
442,Stan Wawrinka,Switzerland,SUI,John Isner,United States,USA,07/11/2011,Paris Masters,M,3,H,VRAI,60,R64,6-7(3) 7-5 7-6(5),FAUX,12,
442,Stephane Robert,France,FRA,Tomas Berdych,Czech Republic,CZE,22/05/2011,Roland Garros,G,5,C,FAUX,46,R128,3-6 3-6 6-2 6-2 9-7,VRAI,12,
442,Thiemo De Bakker,Netherlands,NED,Malek Jaziri,Tunisia,TUN,29/08/2011,US Open,G,5,H,FAUX,49,R128,4-6 6-1 6-4 6-2,FAUX,12,
442,Tomas Berdych,Czech Republic,CZE,Filippo Volandri,Italy,ITA,20/06/2011,Wimbledon,G,5,G,FAUX,80,R128,6-2 6-2 6-1,VRAI,12,
442,Victor Crivoi,Romania,ROU,Guillermo Olaso,Spain,ESP,18/07/2011,Hamburg,A,3,C,FAUX,39,R64,6-4 6-3,VRAI,12,
442,Viktor Troicki,Serbia,SRB,Tobias Kamke,Germany,GER,22/05/2011,Roland Garros,G,5,C,FAUX,46,R64,6-2 6-2 7-6(4),VRAI,12,
442,Viktor Troicki,Serbia,SRB,Nicolas Mahut,France,FRA,17/01/2011,Australian Open,G,5,H,FAUX,55,R64,6-4 6-2 1-6 6-3,VRAI,12,
442,Viktor Troicki,Serbia,SRB,Alexandr Dolgopolov,Ukraine,UKR,22/05/2011,Roland Garros,G,5,C,FAUX,46,R32,6-4 3-6 6-3 6-4,VRAI,12,
442,Viktor Troicki,Serbia,SRB,Jeremy Chardy,France,FRA,17/10/2011,Moscow,B,3,H,VRAI,74,SF,6-4 6-4,VRAI,12,
442,Xavier Malisse,Belgium,BEL,Victor Hanescu,Romania,ROU,01/05/2011,Madrid Masters,M,3,C,FAUX,53,R64,3-6 6-4 7-5,VRAI,12,
442,Xavier Malisse,Belgium,BEL,Michael Berrer,Germany,GER,19/09/2011,Metz,B,3,H,VRAI,70,R32,6-4 3-6 6-4,VRAI,12,
583,Alexandr Dolgopolov,Ukraine,UKR,Stan Wawrinka,Switzerland,SUI,21/02/2011,Acapulco,A,3,C,FAUX,30,QF,6-4 7-6(6),VRAI,11,
583,Alexandr Dolgopolov,Ukraine,UKR,Bernard Tomic,Australia,AUS,09/10/2011,Shanghai Masters,M,3,H,FAUX,60,R16,5-7 6-1 6-0,VRAI,11,
583,Alexandr Dolgopolov,Ukraine,UKR,Tomas Berdych,Czech Republic,CZE,08/08/2011,Canada Masters,M,3,H,FAUX,62,R32,4-6 6-2 6-3,FAUX,11,
583,Alexandr Dolgopolov,Ukraine,UKR,Philipp Kohlschreiber,Germany,GER,07/11/2011,Paris Masters,M,3,H,VRAI,60,R32,6-3 7-6(6),VRAI,11,
583,Alexandr Dolgopolov,Ukraine,UKR,Robin Soderling,Sweden,SWE,17/01/2011,Australian Open,G,5,H,FAUX,55,R16,1-6 6-3 6-1 4-6 6-2,VRAI,11,
583,Andreas Haider Maurer,Austria,AUT,Mikhail Kukushkin,Kazakhstan,KAZ,11/07/2011,Bastad,B,3,C,FAUX,26,R32,7-5 6-2,VRAI,11,
583,Andy Murray,United Kingdom,GBR,Alex Bogomolov Jr,Russian Federation,RUS,14/08/2011,Cincinnati Masters,M,3,H,FAUX,68,R16,6-2 7-5,VRAI,11,
583,Andy Murray,United Kingdom,GBR,Jo Wilfried Tsonga,France,FRA,06/06/2011,Queen's Club,B,3,G,FAUX,75,F,3-6 7-6(2) 6-4,VRAI,11,
583,Andy Murray,United Kingdom,GBR,Janko Tipsarevic,Serbia,SRB,06/06/2011,Queen's Club,B,3,G,FAUX,75,R16,6-4 7-6(3),VRAI,11,
583,Andy Murray,United Kingdom,GBR,Alex Bogomolov Jr,Russian Federation,RUS,03/10/2011,Tokyo,A,3,H,FAUX,58,R16,6-1 6-2,VRAI,11,
583,Andy Roddick,United States,USA,Jack Sock,United States,USA,29/08/2011,US Open,G,5,H,FAUX,49,R64,6-3 6-3 6-4,VRAI,11,
583,Andy Roddick,United States,USA,Edouard Roger Vasselin,France,FRA,21/08/2011,Winston-Salem,B,3,H,FAUX,55,R32,6-2 6-4,VRAI,11,
583,Andy Roddick,United States,USA,Nicolas Almagro,Spain,ESP,09/10/2011,Shanghai Masters,M,3,H,FAUX,60,R16,6-3 6-4,VRAI,11,
583,Andy Roddick,United States,USA,David Ferrer,Spain,ESP,09/10/2011,Shanghai Masters,M,3,H,FAUX,60,QF,6-7(5) 6-2 7-6(2),FAUX,11,
583,Antonio Veic,Croatia,CRO,Pablo Cuevas,Uruguay,URU,22/05/2011,Roland Garros,G,5,C,FAUX,46,R128,4-6 6-3 6-2 3-1 RET,VRAI,11,RET
