rank,name,country_name,country_id,opponent_name,opponent_country_name,opponent_country_id,date,tournament,level,bestOf,surface,indoor,speed,round,score,winner,value,outcome
644,James Blake,United States,USA,Lukas Lacko,Slovakia,SVK,27/08/2012,US Open,G,5,H,FAUX,60,R128,7-5 6-2 3-6 6-3,VRAI,11,
644,James Duckworth,Australia,AUS,Jurgen Zopp,Estonia,EST,16/01/2012,Australian Open,G,5,H,FAUX,46,R128,6-3 6-4 6-4,VRAI,11,
644,Janko Tipsarevic,Serbia,SRB,Alex Bogomolov Jr,Russian Federation,RUS,21/05/2012,Dusseldorf,T,3,C,FAUX,33,RR,6-1 6-3,VRAI,11,
644,Janko Tipsarevic,Serbia,SRB,Mikhail Youzhny,Russian Federation,RUS,25/06/2012,Wimbledon,G,5,G,FAUX,80,R32,6-3 6-4 3-6 6-3,FAUX,11,
644,Janko Tipsarevic,Serbia,SRB,Yen Hsun Lu,Taiwan, Province of China,TPE,11/06/2012,Queen's Club,B,3,G,FAUX,73,R16,6-3 2-6 7-6(5),FAUX,11,
644,Janko Tipsarevic,Serbia,SRB,Grega Zemlja,Slovenia,SLO,15/10/2012,Vienna,B,3,H,VRAI,59,SF,3-6 7-6(5) 6-2,FAUX,11,
644,Janko Tipsarevic,Serbia,SRB,Gilles Simon,France,FRA,15/04/2012,Monte Carlo Masters,M,3,C,FAUX,31,R16,6-0 4-6 6-1,FAUX,11,
644,Janko Tipsarevic,Serbia,SRB,James Duckworth,Australia,AUS,16/01/2012,Australian Open,G,5,H,FAUX,46,R64,3-6 6-2 7-6(5) 6-4,VRAI,11,
644,Jerzy Janowicz,Poland,POL,Janko Tipsarevic,Serbia,SRB,29/10/2012,Paris Masters,M,3,H,VRAI,69,QF,3-6 6-1 4-1 RET,VRAI,11,RET
644,Jerzy Janowicz,Poland,POL,David Ferrer,Spain,ESP,29/10/2012,Paris Masters,M,3,H,VRAI,69,F,6-4 6-3,FAUX,11,
644,Jesse Huta Galung,Netherlands,NED,Ivan Ljubicic,Croatia,CRO,13/02/2012,Rotterdam,A,3,H,VRAI,54,R32,7-6(6) 6-3,VRAI,11,
644,John Isner,United States,USA,Ryan Harrison,United States,USA,09/07/2012,Newport,B,3,G,FAUX,60,SF,7-6(4) 6-3,VRAI,11,
644,John Isner,United States,USA,Ryan Sweeting,United States,USA,09/04/2012,Houston,B,3,C,FAUX,29,QF,7-6(1) 7-6(4),VRAI,11,
644,John Isner,United States,USA,Fabio Fognini,Italy,ITA,21/10/2012,Valencia,A,3,H,VRAI,49,R32,6-3 6-7(4) 7-5,VRAI,11,
644,John Isner,United States,USA,Gilles Simon,France,FRA,08/03/2012,Indian Wells Masters,M,3,H,FAUX,47,QF,6-3 1-6 7-5,VRAI,11,
644,John Isner,United States,USA,Jurgen Melzer,Austria,AUT,20/02/2012,Memphis,A,3,H,VRAI,63,QF,6-3 7-6(6),FAUX,11,
644,Jo Wilfried Tsonga,France,FRA,Xavier Malisse,Belgium,BEL,21/03/2012,Miami Masters,M,3,H,FAUX,51,R64,7-5 7-5,VRAI,11,
644,Jo Wilfried Tsonga,France,FRA,Ivan Dodig,Croatia,CRO,11/06/2012,Queen's Club,B,3,G,FAUX,73,R16,7-6(3) 3-6 7-6(5),FAUX,11,
644,Jo Wilfried Tsonga,France,FRA,Radek Stepanek,Czech Republic,CZE,08/03/2012,Indian Wells Masters,M,3,H,FAUX,47,R32,6-7(2) 6-3 6-2,VRAI,11,
644,Jo Wilfried Tsonga,France,FRA,Marcos Baghdatis,Cyprus,CYP,15/10/2012,Stockholm,B,3,H,VRAI,63,SF,6-4 4-6 5-2 RET,VRAI,11,RET
644,Jo Wilfried Tsonga,France,FRA,Denis Istomin,Uzbekistan,UZB,16/01/2012,Australian Open,G,5,H,FAUX,46,R128,6-4 3-6 6-2 7-5,VRAI,11,
644,Jo Wilfried Tsonga,France,FRA,Marcos Baghdatis,Cyprus,CYP,07/10/2012,Shanghai Masters,M,3,H,FAUX,66,R16,6-2 7-6(2),VRAI,11,
644,Jo Wilfried Tsonga,France,FRA,Juan Martin Del Potro,Argentina,ARG,27/02/2012,Dubai,A,3,H,FAUX,69,QF,7-6(1) 6-2,FAUX,11,
644,Jo Wilfried Tsonga,France,FRA,Andy Murray,United Kingdom,GBR,25/06/2012,Wimbledon,G,5,G,FAUX,80,SF,6-3 6-4 3-6 7-5,FAUX,11,
644,Juan Martin Del Potro,Argentina,ARG,Michael Llodra,France,FRA,20/02/2012,Marseille,B,3,H,VRAI,84,F,6-4 6-4,VRAI,11,
644,Juan Martin Del Potro,Argentina,ARG,Adrian Mannarino,France,FRA,16/01/2012,Australian Open,G,5,H,FAUX,46,R128,2-6 6-1 7-5 6-4,VRAI,11,
644,Juan Martin Del Potro,Argentina,ARG,Roger Federer,Switzerland,SUI,25/07/2012,London Olympics,O,3,G,FAUX,87,SF,3-6 7-6(5) 19-17,FAUX,11,
644,Juan Martin Del Potro,Argentina,ARG,Roger Federer,Switzerland,SUI,27/02/2012,Dubai,A,3,H,FAUX,69,SF,7-6(5) 7-6(6),FAUX,11,
644,Julien Benneteau,France,FRA,Ryan Sweeting,United States,USA,13/02/2012,San Jose,B,3,H,VRAI,62,R32,7-6(3) 7-6(5),VRAI,11,
644,Julien Benneteau,France,FRA,Steve Darcis,Belgium,BEL,13/02/2012,San Jose,B,3,H,VRAI,62,QF,3-6 6-1 6-2,VRAI,11,
644,Jurgen Zopp,Estonia,EST,Denis Istomin,Uzbekistan,UZB,27/08/2012,US Open,G,5,H,FAUX,60,R128,3-6 6-3 6-3 7-5,VRAI,11,
644,Karol Beck,Slovakia,SVK,Paul Henri Mathieu,France,FRA,20/02/2012,Marseille,B,3,H,VRAI,84,R32,7-6(2) 2-6 6-3,VRAI,11,
644,Kevin Anderson,South Africa,RSA,Lleyton Hewitt,Australia,AUS,15/10/2012,Stockholm,B,3,H,VRAI,63,R32,6-4 4-6 6-4,FAUX,11,
644,Kevin Anderson,South Africa,RSA,Sam Querrey,United States,USA,30/07/2012,Washington,A,3,H,FAUX,66,QF,6-4 6-4,FAUX,11,
644,Kevin Anderson,South Africa,RSA,Andy Roddick,United States,USA,27/02/2012,Delray Beach,B,3,H,FAUX,41,QF,2-6 7-6(9) 6-4,VRAI,11,
644,Leonardo Mayer,Argentina,ARG,Juan Carlos Ferrero,Spain,ESP,13/02/2012,Sao Paulo,B,3,C,VRAI,63,R32,7-6(6) 6-2,VRAI,11,
644,Lleyton Hewitt,Australia,AUS,Andy Roddick,United States,USA,16/01/2012,Australian Open,G,5,H,FAUX,46,R64,3-6 6-3 6-4 RET,VRAI,11,RET
644,Lukas Lacko,Slovakia,SVK,Sergei Bubka,Ukraine,UKR,27/02/2012,Dubai,A,3,H,FAUX,69,R32,2-6 6-2 7-6(14),VRAI,11,
644,Lukas Rosol,Czech Republic,CZE,Daniel Gimeno Traver,Spain,ESP,15/10/2012,Moscow,B,3,H,VRAI,53,R32,7-6(9) 7-6(2),VRAI,11,
644,Marcel Granollers,Spain,ESP,Denis Kudla,United States,USA,27/08/2012,US Open,G,5,H,FAUX,60,R128,6-3 4-6 6-3 7-6(2),VRAI,11,
644,Mardy Fish,United States,USA,Feliciano Lopez,Spain,ESP,12/08/2012,Cincinnati Masters,M,3,H,FAUX,61,R64,6-2 6-3,VRAI,11,
644,Mardy Fish,United States,USA,Gilles Muller,Luxembourg,LUX,16/01/2012,Australian Open,G,5,H,FAUX,46,R128,6-4 6-4 6-2,VRAI,11,
644,Mardy Fish,United States,USA,Tommy Haas,Germany,GER,30/07/2012,Washington,A,3,H,FAUX,66,SF,6-3 7-5,FAUX,11,
644,Mardy Fish,United States,USA,Frank Dancevic,Canada,CAN,21/03/2012,Miami Masters,M,3,H,FAUX,51,R64,6-3 7-6(1),VRAI,11,
644,Marin Cilic,Croatia,CRO,Lukas Rosol,Czech Republic,CZE,11/06/2012,Queen's Club,B,3,G,FAUX,73,R16,7-6(3) 6-2,VRAI,11,
644,Marin Cilic,Croatia,CRO,Mikhail Youzhny,Russian Federation,RUS,30/04/2012,Munich,B,3,C,FAUX,54,QF,6-3 6-7(6) 6-3,VRAI,11,
